date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:53	77909/77909	---MCZ	200	added ('OK')	text/html	etag:W/%226127d2fa-13055%22	https://trax.acrothemes.com/bootstrap-v5/index.html	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/index.html	(from )
17:17:54	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Sep%202021%2010:17:54%20GMT	https://trax.acrothemes.com/robots.txt		(from )
17:17:54	3894/3894	---M--	200	added ('OK')	image/x-icon	etag:%226127d8be-f36%22	https://trax.acrothemes.com/bootstrap-v5/images/favicon.ico	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/images/favicon.ico	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:55	155586/155586	---MCZ	200	added ('OK')	text/css	etag:W/%226127d298-25fc2%22	https://trax.acrothemes.com/bootstrap-v5/css/bootstrap.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/bootstrap.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:55	56517/56517	---MCZ	200	added ('OK')	text/css	etag:W/%226127d296-dcc5%22	https://trax.acrothemes.com/bootstrap-v5/css/all.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/all.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:55	16952/16952	---MCZ	200	added ('OK')	text/css	etag:W/%226127d297-4238%22	https://trax.acrothemes.com/bootstrap-v5/css/animate.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/animate.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:56	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%226127d29d-b78%22	https://trax.acrothemes.com/bootstrap-v5/css/owl.carousel.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/owl.carousel.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:56	12795/12795	---MCZ	200	added ('OK')	text/css	etag:W/%226127d29a-31fb%22	https://trax.acrothemes.com/bootstrap-v5/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/jquery.fancybox.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:56	7542/7542	---MCZ	200	added ('OK')	text/css	etag:W/%226127d2ac-1d76%22	https://trax.acrothemes.com/bootstrap-v5/css/tooltipster.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/tooltipster.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:56	101721/101721	---MCZ	200	added ('OK')	text/css	etag:W/%226127d299-18d59%22	https://trax.acrothemes.com/bootstrap-v5/css/cubeportfolio.min.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/cubeportfolio.min.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:56	1532/1532	---MCZ	200	added ('OK')	text/css	etag:W/%226127d2a9-5fc%22	https://trax.acrothemes.com/bootstrap-v5/css/revolution/navigation.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/revolution/navigation.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:57	30060/30060	---MCZ	200	added ('OK')	text/css	etag:W/%226127d2ac-756c%22	https://trax.acrothemes.com/bootstrap-v5/css/revolution/settings.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/revolution/settings.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:57	130383/130383	---MCZ	200	added ('OK')	text/css	etag:W/%226127d2a2-1fd4f%22	https://trax.acrothemes.com/bootstrap-v5/css/style.css	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/css/style.css	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:57	6991/6991	---M--	200	added ('OK')	image/png	etag:%226127d925-1b4f%22	https://trax.acrothemes.com/bootstrap-v5/images/logo-transparent.png	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/images/logo-transparent.png	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:58	7162/7162	---M--	200	added ('OK')	image/png	etag:%226127d925-1bfa%22	https://trax.acrothemes.com/bootstrap-v5/images/logo.png	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/images/logo.png	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:58	75467/75467	---MCZ	200	added ('OK')	text/html	etag:W/%226127d2fe-126cb%22	https://trax.acrothemes.com/bootstrap-v5/index-creative-agency.html	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/index-creative-agency.html	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:58	77688/77688	---MCZ	200	added ('OK')	text/html	etag:W/%226127d305-12f78%22	https://trax.acrothemes.com/bootstrap-v5/index-light.html	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/index-light.html	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:58	66430/66430	---MCZ	200	added ('OK')	text/html	etag:W/%226127d30b-1037e%22	https://trax.acrothemes.com/bootstrap-v5/index-video.html	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/index-video.html	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:59	76700/76700	---MCZ	200	added ('OK')	text/html	etag:W/%226127d306-12b9c%22	https://trax.acrothemes.com/bootstrap-v5/index-modern-agency.html	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/index-modern-agency.html	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
17:17:59	61070/61070	---MCZ	200	added ('OK')	text/html	etag:W/%226127d2fc-ee8e%22	https://trax.acrothemes.com/bootstrap-v5/index-classic-startup.html	C:/My%20Web%20Sites/Thonghor/trax.acrothemes.com/bootstrap-v5/index-classic-startup.html	(from https://trax.acrothemes.com/bootstrap-v5/index.html)
